Country,Year,Attack Type,Target Industry,Attack Source,Financial Loss (Millions),Number of Affected Users,Incident Resolution Time (Hours),Security Vulnerability Type,Defense Mechanism Used
Royaume-Uni,2015,Malware,Finance,Insider,10.76,56470,143.7,Mots de passe faibles,EDR
Russie,2015,Man-in-the-Middle,Santé,Groupe de hackers,4.43,12,7.2,Absence de chiffrement,EDR
Chine,2015,Injection SQL,Défense,Inconnu,18.82,43180,104.9,Mots de passe faibles,Analyse forensique
Chine,2015,Man-in-the-Middle,Gouvernement,Hacktivistes,3.84,53,64.6,API non sécurisée,Formation et sensibilisation
France,2015,Zero-Day,Technologie,Nation-État,472.43,1122,243.6,Accès non autorisé,Chiffrement
États-Unis,2015,Man-in-the-Middle,Finance,Groupe de hackers,20.85,247,88.6,Vulnérabilité zero-day,SIEM
États-Unis,2015,Injection SQL,Gouvernement,Nation-État,10.16,490861,110.2,API non sécurisée,EDR
Turquie,2015,Phishing,Gouvernement,Inconnu,11.60,1192353,83.3,Vulnérabilité zero-day,Chiffrement
Israël,2015,Malware,Énergie,Cybercriminels,4.66,903,75.0,Ingénierie sociale,Pare-feu
Mexique,2015,DDoS,Énergie,Cybercriminels,21.56,2662,148.5,Vulnérabilité zero-day,Sauvegarde et restauration
Japon,2015,Injection SQL,Santé,Cybercriminels,37.35,90675,86.6,API non sécurisée,Pare-feu
Suède,2015,Malware,Santé,Cybercriminels,5.33,3351403,80.5,Accès non autorisé,Segmentation réseau
France,2015,Phishing,Gouvernement,Cybercriminels,11.16,4534,25.6,Absence de chiffrement,Chiffrement
Inde,2015,Ransomware,Éducation,Groupe de hackers,10.60,796012,89.4,Logiciels non patchés,Sauvegarde et restauration
Russie,2015,Malware,Commerce,Groupe de hackers,35.55,792,31.8,Absence de chiffrement,EDR
Canada,2015,Zero-Day,Commerce,Cybercriminels,30.41,2376,146.6,Vulnérabilité zero-day,Sauvegarde et restauration
Inde,2015,Spear Phishing,Télécommunications,Groupe de hackers,16.06,63924,149.2,Accès non autorisé,Pare-feu
Colombie,2015,Zero-Day,Technologie,Groupe de hackers,21.49,291600,476.7,Ingénierie sociale,Sauvegarde et restauration
Japon,2015,DDoS,Défense,Cybercriminels,27.84,1124357,157.4,Vulnérabilité zero-day,IDS/IPS
Canada,2015,Ransomware,Finance,Groupe de hackers,148.75,645,655.0,Absence de chiffrement,EDR
Égypte,2015,Phishing,Santé,Cybercriminels,36.07,149,42.3,Logiciels non patchés,SIEM
Brésil,2015,Zero-Day,Gouvernement,Cybercriminels,428.10,5878966,112.3,API non sécurisée,Segmentation réseau
Brésil,2015,Phishing,Défense,Cybercriminels,14.68,8063,108.7,Mauvaise configuration,IDS/IPS
Malaisie,2015,Malware,Énergie,Insider,67.28,5387938,150.3,Mauvaise configuration,Pare-feu
Chine,2015,Phishing,Télécommunications,Groupe de hackers,30.09,1753132,25.8,API non sécurisée,Formation et sensibilisation
Italie,2015,Injection SQL,Commerce,Cybercriminels,24.00,7038968,21.0,Mots de passe faibles,IDS/IPS
Italie,2015,Injection SQL,Télécommunications,Cybercriminels,5.17,38124,152.9,Vulnérabilité zero-day,Pare-feu
États-Unis,2015,Phishing,Énergie,Cybercriminels,34.52,784723,69.4,Vulnérabilité zero-day,Sauvegarde et restauration
France,2015,Malware,Gouvernement,Insider,33.46,344250,110.3,Mots de passe faibles,Chiffrement
Brésil,2015,Malware,Transport,Cybercriminels,23.02,31196,103.6,API non sécurisée,Pare-feu
États-Unis,2015,Phishing,Commerce,Nation-État,35.54,76531,54.4,Vulnérabilité zero-day,IDS/IPS
États-Unis,2015,Spear Phishing,Technologie,Nation-État,22.67,6206,31.2,Accès non autorisé,Pare-feu
Italie,2015,Spear Phishing,Santé,Nation-État,99.54,1136,91.5,Ingénierie sociale,Segmentation réseau
Australie,2015,Phishing,Défense,Cybercriminels,18.20,9748,164.7,API non sécurisée,SIEM
Pologne,2015,Ransomware,Finance,Inconnu,108.53,178,691.3,Vulnérabilité zero-day,Sauvegarde et restauration
Russie,2015,DDoS,Éducation,Cybercriminels,6.59,1042,165.4,Absence de chiffrement,Sauvegarde et restauration
Russie,2015,DDoS,Gouvernement,Cybercriminels,16.86,160758,142.5,Logiciels non patchés,Pare-feu
Espagne,2015,Spear Phishing,Santé,Groupe de hackers,4.77,685,54.0,API non sécurisée,Formation et sensibilisation
Canada,2015,Phishing,Commerce,Insider,3.40,33222,144.3,Mauvaise configuration,Formation et sensibilisation
Israël,2015,Spear Phishing,Finance,Nation-État,44.80,26628,111.1,Mauvaise configuration,Authentification multifacteur
États-Unis,2015,DDoS,Santé,Inconnu,6.12,503158,42.7,Ingénierie sociale,Authentification multifacteur
Chine,2015,Malware,Gouvernement,Groupe de hackers,55.12,2264,8.1,API non sécurisée,Formation et sensibilisation
France,2015,Malware,Finance,Inconnu,77.09,5633,92.5,Mauvaise configuration,EDR
Corée du Sud,2015,Spear Phishing,Gouvernement,Inconnu,13.54,99,166.9,Absence de chiffrement,SIEM
Inde,2015,Phishing,Technologie,Cybercriminels,26.74,635,105.5,Absence de chiffrement,Chiffrement
Égypte,2015,Injection SQL,Finance,Hacktivistes,21.71,2513317,3.2,Logiciels non patchés,Chiffrement
Israël,2015,Man-in-the-Middle,Santé,Cybercriminels,11.29,2118,8.8,Mauvaise configuration,Authentification multifacteur
Chine,2015,Ransomware,Commerce,Cybercriminels,93.04,703,244.4,Ingénierie sociale,Formation et sensibilisation
Indonésie,2015,Spear Phishing,Commerce,Hacktivistes,37.53,124,65.2,Mots de passe faibles,Chiffrement
États-Unis,2015,DDoS,Santé,Cybercriminels,2.97,2946,75.6,API non sécurisée,Formation et sensibilisation
Russie,2015,Malware,Gouvernement,Cybercriminels,20.15,8888,113.7,API non sécurisée,Analyse forensique
Inde,2015,Man-in-the-Middle,Commerce,Groupe de hackers,8.49,279,41.4,Absence de chiffrement,IDS/IPS
